"","group1","group2","group3","group_names","colors","xrange","outliers","errorbars","mri","exc","Total.Mass","Lean.Mass","Fat.Mass"
"1","3569-WT","IL17-KO1","3572-KO2","WT","#999999","120","Yes","Yes","Yes","169","28.75","4.2","24.55"
"2","3570-WT","IL17-KO2","3572-KO1","KO1","#C91C0C","150",NA,NA,NA,"169","28.89","4.55","24.34"
"3","3571-WT","IL17-KO3","3571-KO","KO2","#1437C7",NA,NA,NA,NA,"169","33.59","9.26","24.33"
"4","3572-WT1","IL17-KO4","3570-KO",NA,NA,NA,NA,NA,NA,"169","29.94","7.5","22.44"
"5","3572-WT2","IL17-KO5","3569-KO",NA,NA,NA,NA,NA,NA,"169","28.95","6.55","22.4"
"6","BL-1",NA,NA,NA,NA,NA,NA,NA,NA,"169","29.02","6.8","22.22"
"7","BL-2",NA,NA,NA,NA,NA,NA,NA,NA,"169","28.26","4.02","24.24"
"8","BL-3",NA,NA,NA,NA,NA,NA,NA,NA,"169","27.73","4.68","23.05"
"9","BL-4",NA,NA,NA,NA,NA,NA,NA,NA,"169","29.6","3.94","25.66"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","26.62","4.56","22.06"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","32.5","5.16","24.93"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","31.8","3.86","25.65"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","31.4","3.34","25.11"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","30.3","3.68","25.11"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","32.2","5.28","24.56"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","27.8","4.12","22.7"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","27.6","3.91","22.24"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","31.5","6.22","24.32"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","28.6","4.96","23.27"
