,Total.Mass,Lean.Mass,Fat.Mass
3569-KO,28.75,4.2,24.55
3569-WT,28.89,4.55,24.34
3570-KO,33.59,9.26,24.33
3570-WT,29.94,7.5,22.44
3571-KO,28.95,6.55,22.4
3571-WT,29.02,6.8,22.22
3572-KO1,28.26,4.02,24.24
3572-KO2,27.73,4.68,23.05
3572-WT1,29.6,3.94,25.66
3572-WT2,26.62,4.56,22.06
BL-1,32.5,5.16,24.93
BL-2,31.8,3.86,25.65
BL-3,31.4,3.34,25.11
BL-4,30.3,3.68,25.11
IL17-KO1,32.2,5.28,24.56
IL17-KO2,27.8,4.12,22.7
IL17-KO3,27.6,3.91,22.24
IL17-KO4,31.5,6.22,24.32
IL17-KO5,28.6,4.96,23.27
